< s s s s d >

[ Wiek
  Wada_wzroku
  Astygmatyzm
  Lzawienie
  SOCZEWKI ]

mlody       krotkowidz  nie         normalne    miekkie     
mlody       dalekowidz  tak         normalne    twarde      
mlody       dalekowidz  nie         zmniejszone brak        
mlody       krotkowidz  tak         zmniejszone brak        
prestarczy  krotkowidz  tak         zmniejszone brak        
prestarczy  krotkowidz  nie         normalne    miekkie     
mlody       krotkowidz  tak         normalne    twarde      
starczy     dalekowidz  tak         zmniejszone brak        
prestarczy  dalekowidz  nie         zmniejszone brak        
prestarczy  dalekowidz  tak         zmniejszone brak        
prestarczy  krotkowidz  nie         zmniejszone brak        
mlody       dalekowidz  tak         zmniejszone brak        
starczy     krotkowidz  tak         normalne    twarde      
prestarczy  dalekowidz  nie         normalne    miekkie     
starczy     dalekowidz  tak         normalne    brak        
starczy     krotkowidz  tak         zmniejszone brak        
mlody       krotkowidz  nie         zmniejszone brak        
starczy     krotkowidz  nie         zmniejszone brak        
starczy     dalekowidz  nie         zmniejszone brak        
mlody       dalekowidz  nie         normalne    miekkie     
starczy     dalekowidz  nie         normalne    miekkie     
prestarczy  dalekowidz  tak         normalne    brak        
